episode,reward,length,success,completed,critic_loss,policy_loss,entropy
1,44.5500,29,1,16,552.099426,0.000733,0.002749
2,44.2000,36,1,16,430.489319,0.059222,0.006288
3,44.5000,30,1,16,517.367310,0.000669,0.007444
4,44.5000,30,1,16,484.912048,-0.000013,0.000580
5,44.4500,31,1,16,445.087952,0.000004,0.001479
6,44.4500,31,1,16,438.500854,0.000330,0.010837
7,44.5500,29,1,16,447.332458,0.000378,0.003291
8,44.3500,33,1,16,357.074615,0.000468,0.004525
9,44.5000,30,1,16,391.369781,0.002580,0.009681
10,44.5500,29,1,16,397.827332,-0.000151,0.002707
11,44.3500,33,1,16,301.864075,0.001336,0.004439
12,44.3500,33,1,16,291.284332,0.000036,0.002704
13,44.4500,31,1,16,321.752563,0.000130,0.001300
14,44.1000,38,1,16,220.733521,-0.000238,0.012399
15,44.4500,31,1,16,256.279968,0.002507,0.005427
16,44.6000,28,1,16,294.720490,0.001019,0.008953
17,44.4500,31,1,16,237.499634,-0.000093,0.001037
18,44.2500,35,1,16,189.908279,0.017085,0.019975
19,44.4500,31,1,16,231.340195,0.005464,0.018689
20,44.4000,32,1,16,199.138489,0.002658,0.013205
