episode,reward,length,success,completed,critic_loss,policy_loss,entropy
1,96.3500,123,1,100,459.144745,-0.087851,0.518030
2,-112.5000,220,1,100,1486.031372,0.065009,0.495940
3,117.0000,150,1,100,414.264557,-0.000698,0.500743
4,63.2000,146,1,100,422.324921,-0.113682,0.617298
5,118.7000,116,1,100,594.822021,-0.063413,0.625002
6,104.3000,124,1,100,555.427673,-0.063180,0.617256
7,134.5500,119,1,100,593.648621,0.042121,0.562910
8,36.8000,154,1,100,539.520691,0.020595,0.544541
9,126.5500,119,1,100,434.430450,0.003764,0.613470
10,109.4500,141,1,100,234.992325,0.059221,0.497025
