episode,reward,length,success,critic_loss,policy_loss,entropy,total_loss
1,268.150024,144,1.000000,337.889966,-0.011342,0.225871,168.933414
2,254.938873,140,1.000000,270.358487,-0.011339,0.298915,135.167604
3,235.700012,153,1.000000,147.803811,-0.010736,0.279749,73.890890
4,248.361084,148,1.000000,147.042583,-0.008998,0.291582,73.512002
5,251.022217,143,1.000000,128.853609,-0.010554,0.301125,64.415949
6,256.511108,139,1.000000,121.563870,-0.010689,0.307086,60.770939
7,248.883331,156,1.000000,56.281196,-0.008770,0.199289,28.131628
8,251.188873,149,1.000000,56.738168,-0.008983,0.230699,28.359871
9,242.994431,142,1.000000,42.779894,-0.010902,0.282402,21.378762
10,238.866653,141,1.000000,29.069482,-0.011067,0.279621,14.523395
11,259.372192,134,1.000000,42.249227,-0.012162,0.309135,21.112142
12,255.655548,137,1.000000,24.646665,-0.010093,0.303692,12.312935
13,244.611115,139,1.000000,10.756910,-0.009163,0.296425,5.368995
14,238.250000,144,1.000000,12.161777,-0.007211,0.205018,6.073473
15,241.222214,143,1.000000,15.583185,-0.010674,0.321908,7.780597
16,253.638885,140,1.000000,8.254820,-0.007888,0.241930,4.119279
17,226.244446,151,1.000000,22.180319,-0.009713,0.308752,11.080138
18,206.727783,154,1.000000,52.643670,-0.011225,0.312391,26.310298
19,242.199982,135,1.000000,17.591520,-0.010728,0.285173,8.784746
20,220.616653,150,1.000000,23.902022,-0.010067,0.286999,11.940657
21,225.061096,166,1.000000,16.976851,-0.012108,0.353526,8.475964
22,250.000015,153,1.000000,16.087094,-0.009514,0.254851,8.033778
23,238.038879,140,1.000000,17.861091,-0.011620,0.315511,8.918610
24,250.644440,151,1.000000,7.768017,-0.007849,0.270893,3.875889
25,260.583344,138,1.000000,12.384267,-0.010617,0.310645,6.181206
26,233.988876,149,1.000000,7.368664,-0.009254,0.302577,3.674775
27,262.322205,143,1.000000,12.451963,-0.011589,0.274608,6.214118
28,233.777771,145,1.000000,9.613022,-0.011447,0.265555,4.794799
29,266.766663,141,1.000000,8.311170,-0.008462,0.269962,4.146853
30,254.550018,144,1.000000,9.748576,-0.008991,0.304040,4.864993
31,244.538879,140,1.000000,7.224856,-0.010136,0.262188,3.602030
32,251.683319,138,1.000000,9.687450,-0.011672,0.297719,4.831755
33,241.438889,140,1.000000,8.298149,-0.011036,0.326858,4.137712
34,250.144424,151,1.000000,9.764006,-0.009272,0.294061,4.872437
35,213.038879,158,1.000000,14.157393,-0.009409,0.250721,7.069037
