episode,reward,length,success,completed,critic_loss,policy_loss,entropy
1,-878.0599,641,1,100,3158.544189,-0.009610,0.446897
2,82.6200,169,1,100,268.746155,0.037850,0.329990
3,131.6300,172,1,100,574.885071,-0.115390,0.424109
4,42.2300,200,1,100,283.982056,-0.011367,0.414800
5,117.6800,359,1,100,226.608810,0.137207,0.175180
6,124.7200,160,1,100,521.258423,0.000633,0.421623
7,24.6900,191,1,100,285.965027,-0.020535,0.342341
8,89.7100,169,1,100,217.788330,-0.036947,0.369408
9,-108.2100,272,1,100,991.056396,0.007210,0.448725
10,-1734.5697,900,0,34,4360.344727,0.012024,0.211079
